,"Revenue from Contract with Customer, Including Assessed Tax",Cost of Goods and Services Sold,Gross profit,Operating income,Net income,Basic and diluted loss per share,Diluted net earnings (loss) per share,Gross margin,Operating margin,Profit margin
"Sep. 30, 2021","509,736","136,328","373,408","281,841","215,752",5.17,5.08,0.732551752,0.552915627,0.423262238
"Jun. 30, 2021","176,610","70,424","106,186","23,306","19,073",0.46,0.45,0.601245683,0.131963082,0.107995017
"Mar. 31, 2021","375,338","73,379","301,959","224,189","178,084",4.19,4.09,0.804498878,0.597298968,0.474463017
"Dec. 31, 2020",809203,107709,701494,617076,470130,11.14,10.78,0.866894957,0.762572556,0.580979062
"Sep. 30, 2020",476058,92439,383619,307959,232268,5.52,5.33,0.80582408,0.646893866,0.487898533
"Jun. 30, 2020",201754,53003,148751,83663,67652,1.61,1.55,0.737288976,0.414678272,0.33531925
"Mar. 31, 2020",174653,59662,114991,51628,40237,0.96,0.93,0.658396936,0.295603282,0.23038253
"Dec. 31, 2019",152178,57338,94840,35063,30626,0.73,0.71,0.623217548,0.230407812,0.201251166
"Sep. 30, 2019",126492,50633,75859,20682,16181,0.39,0.38,0.599713816,0.163504411,0.127921133
"Jun. 30, 2019",108252,49073,59179,5818,1270,0.03,0.03,0.546678121,0.053744965,0.011731885
"Mar. 31, 2019",147968,57041,90927,31153,24844,0.63,0.6,0.614504487,0.210538765,0.167901168
"Dec. 31, 2018",132588,50456,82132,27538,32479,0.82,0.78,0.619452741,0.207696021,0.244961837
"Sep. 30, 2018",117399,47757,69642,16894,10822,0.28,0.27,0.593207779,0.143902418,0.092181364
"Jun. 30, 2018",103155,45487,57668,404,-3076,-0.08,-0.08,0.559042218,0.003916436,-0.029819204
"Mar. 31, 2018",169143,62872,106271,51093,33958,0.96,0.86,0.628290854,0.302069846,0.200765033
"Dec. 31, 2017",114890,55763,59127,3887,-5088,-0.15,-0.15,0.514640091,0.033832361,-0.044285839
"Sep. 30, 2017",50894,21204,29690,-2537,-5525,-0.16,-0.16,0.583369356,-0.049848705,-0.108558966
"Jun. 30, 2017",38267,19441,18826,-11027,-11842,-0.35,-0.35,0.491964356,-0.288159511,-0.309457235
"Mar. 31, 2017",73692,25193,48499,19229,14290,0.43,0.42,0.65813114,0.260937415,0.193915215
"Dec. 31, 2016",52808,20807,32001,46893,-1950,-0.06,-0.06,0.605987729,0.887990456,-0.036926223
"Sep. 30, 2016",49341,19318,30023,47216,-572,-0.02,-0.02,0.608479763,0.956932369,-0.011592793
"Jun. 30, 2016",39133,18908,20225,48152,-7840,-0.24,-0.24,0.51682723,1.230470447,-0.200342422
"Mar. 31, 2016",50321,20839,29482,53781,-3446,-0.11,-0.11,0.585878659,1.06875857,-0.068480356
"Dec. 31, 2015",52412,19712,32700,49750,-377,-0.01,-0.01,0.623902923,0.949210105,-0.007193009
"Sep. 30, 2015",46812,18551,28261,45600,-762,-0.02,-0.02,0.603712723,0.974109203,-0.016277877
"Jun. 30, 2015",35204,17083,18121,45029,-8931,-0.26,-0.26,0.514742643,1.279087604,-0.253692762
"Mar. 31, 2015",61701,22683,39018,53012,3991,0.12,0.11,0.632372247,0.859175702,0.064682906
"Dec. 31, 2014",63597,22834,40763,50682,7113,0.2,0.2,0.640957907,0.796924383,0.111844898
"Sep. 30, 2014",40857,18339,22518,50978,-5767,-0.17,-0.17,0.551141787,1.247717649,-0.141150843
"Jun. 30, 2014",31488,17473,14015,41473,-6908,-0.2,-0.2,0.445090193,1.317104929,-0.219385163
"Mar. 31, 2014",46673,21818,24855,48690,-1512,-0.04,-0.04,0.53253487,1.043215564,-0.032395603
"Dec. 31, 2013",50170,20044,30126,50103,1139,0.03,0.03,0.600478374,0.998664541,0.02270281
"Sep. 30, 2013",33539,16844,16695,39507,-4361,-0.13,-0.13,0.497778705,1.177942097,-0.130027729
"Jun. 30, 2013",29706,15182,14524,36829,-1755,-0.05,-0.05,0.488924796,1.239783209,-0.059078974
"Mar. 31, 2013",61995,20985,41010,44806,12367,0.37,0.36,0.66150496,0.722735704,0.199483829
